antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.042564613850755426,0.057136283457320344,0.028989953217271262,0.6810810810810811,11.920290223109017,1.0,0.026557969375043115,2.956437077294843,0.9568368146147703,0.4099783080260304,0.661755020027348,0.5942318157083257
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.057136283457320344,0.042564613850755426,0.028989953217271262,0.5073825503355704,11.920290223109015,1.0,0.026557969375043115,1.9435677457253058,0.9716244341671378,0.4099783080260304,0.4854823032542056,0.5942318157083257
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.08627962267045018,0.04685942173479561,0.03719610399570519,0.43111111111111117,9.200094562647756,1.0,0.03315309076987154,1.675442422731805,0.9754685209638148,0.38768984812150287,0.4031427243142725,0.61244589925441
frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.04685942173479561,0.08627962267045018,0.03719610399570519,0.7937806873977087,9.200094562647754,1.0,0.03315309076987154,4.430818655145674,0.9351248759867145,0.38768984812150287,0.7743080731054829,0.61244589925441
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.0504639926374722,0.05529565150701741,0.025538768310453257,0.5060790273556232,9.152239164618544,1.0,0.022748328959918903,1.9126629578719465,0.9380761910444488,0.3183556405353729,0.4771687317494699,0.483968778587659
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05529565150701741,0.0504639926374722,0.025538768310453257,0.4618585298196949,9.152239164618543,1.0,0.022748328959918903,1.7644728384236665,0.9428739504238773,0.3183556405353729,0.43325849045464837,0.483968778587659
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.06833346115499656,0.059743845386916176,0.03167420814479638,0.4635241301907968,7.758525203540179,1.0,0.027591704406799422,1.752653208703468,0.9350014071806877,0.3285600636435958,0.429436470926411,0.4968455054034857
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.059743845386916176,0.06833346115499656,0.03167420814479638,0.5301668806161746,7.758525203540179,1.0,0.027591704406799422,1.9829733162848568,0.9264597956305866,0.3285600636435958,0.4957067794167188,0.4968455054034857
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.058900222409693996,0.0694071631260066,0.03006365518828131,0.5104166666666666,7.35394797421731,1.0,0.025975557843333608,1.900785368934114,0.9180945950216122,0.3060109289617486,0.4739016743585517,0.4717829189686924
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.0694071631260066,0.058900222409693996,0.03006365518828131,0.43314917127071817,7.35394797421731,1.0,0.025975557843333608,1.660224753838649,0.9284604232330809,0.3060109289617486,0.39767191298173693,0.4717829189686924
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG WOODLAND'}),0.08144796380090498,0.04877674668302784,0.026995935271109748,0.3314500941619586,6.795248078266947,1.0,0.023023168572944584,1.422815626792429,0.9284594715629199,0.26151560178306094,0.2971682478253469,0.44245460682940696
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.04877674668302784,0.08144796380090498,0.026995935271109748,0.5534591194968553,6.795248078266946,1.0,0.023023168572944584,2.057039066981072,0.8965701113367,0.26151560178306094,0.5138643616197293,0.44245460682940696
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG CARS BLUE'}),0.08144796380090498,0.049850448654037885,0.027072628269039035,0.3323917137476459,6.667777777777777,1.0,0.023012410731606085,1.423214137559114,0.9253966703414783,0.2597498160412067,0.2973650460533986,0.4377343184122845
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.049850448654037885,0.08144796380090498,0.027072628269039035,0.543076923076923,6.6677777777777765,1.0,0.023012410731606085,2.010299069122598,0.8946223198547006,0.2597498160412067,0.5025615763546798,0.4377343184122845
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.056369353478027455,0.08144796380090498,0.030447120177927754,0.5401360544217687,6.63167044595616,1.0,0.025855951116368958,1.9974430372968486,0.899937314317721,0.2835714285714286,0.4993599410207433,0.4569795149698297
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.08144796380090498,0.056369353478027455,0.030447120177927754,0.37382297551789073,6.63167044595616,1.0,0.025855951116368958,1.5069710475283231,0.9245076993708976,0.2835714285714286,0.33641724461782974,0.4569795149698297
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.0945624664468134,0.058900222409693996,0.03627578802055372,0.38361719383617193,6.513000768788862,1.0,0.030706037715227185,1.5268105602221673,0.9348639868143156,0.3095549738219895,0.3450398981688408,0.4997513052514193
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.058900222409693996,0.0945624664468134,0.03627578802055372,0.6158854166666666,6.513000768788862,1.0,0.030706037715227185,2.3572068670130415,0.899438043218141,0.3095549738219895,0.5757690960457958,0.4997513052514193
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG PINK RETROSPOT'}),0.08144796380090498,0.05452872152772452,0.028683181225554105,0.35216572504708094,6.4583528676355675,1.0,0.02424192788845437,1.4594338629906343,0.920102210163062,0.2673338098641887,0.31480279760617197,0.4390927078118667
frozenset({'LUNCH BAG PINK RETROSPOT'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.05452872152772452,0.08144796380090498,0.028683181225554105,0.5260196905766525,6.4583528676355675,1.0,0.02424192788845437,1.9379539992212358,0.8939052702079002,0.2673338098641887,0.48399187988886805,0.4390927078118667
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.0945624664468134,0.04509548278242197,0.027149321266968326,0.28710462287104627,6.366593839482266,1.0,0.0228849811894527,1.3394735719331898,0.9309644334825441,0.24130879345603276,0.2534380513706186,0.4445727195987884
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.04509548278242197,0.0945624664468134,0.027149321266968326,0.6020408163265306,6.366593839482265,1.0,0.0228849811894527,2.2752020073900585,0.8827376196044426,0.24130879345603276,0.560478587504797,0.4445727195987884
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.0694071631260066,0.0945624664468134,0.04080067489838178,0.5878453038674033,6.2164760074023295,1.0,0.03423736236411028,2.1968390559400373,0.9017232073921412,0.3312577833125778,0.5448005181371397,0.5096566340910416
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.0945624664468134,0.0694071631260066,0.04080067489838178,0.4314679643146797,6.2164760074023295,1.0,0.03423736236411028,1.6368344762705194,0.9267753175077283,0.3312577833125778,0.3890646766687909,0.5096566340910416
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.08144796380090498,0.05529565150701741,0.02684254927525117,0.3295668549905838,5.960086299892125,1.0,0.02233883105296016,1.4090955310386903,0.9060098522167489,0.24424284717376132,0.2903249084447331,0.40750187409723365
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG RED SPOTTY'}),0.05529565150701741,0.08144796380090498,0.02684254927525117,0.4854368932038835,5.960086299892125,1.0,0.02233883105296016,1.7851105609152222,0.8809287221951616,0.24424284717376132,0.43981060787220816,0.40750187409723365
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.04440524580105836,0.1694915254237288,0.03412838407853363,0.768566493955095,4.534542314335061,1.0,0.02660207123089662,3.5885403491019483,0.8156915613108013,0.18984641638225255,0.7213351661908287,0.48496198000922175
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.1694915254237288,0.04440524580105836,0.03412838407853363,0.20135746606334842,4.534542314335061,1.0,0.02660207123089662,1.1965237432179383,0.9385462049988536,0.18984641638225255,0.16424558587479934,0.48496198000922175
frozenset({'SET/20 RED SPOTTY PAPER NAPKINS '}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.06503566224403712,0.0945624664468134,0.0252319963187361,0.3879716981132076,4.102808573964407,1.0,0.01908206368993805,1.4794046791003896,0.8088699147485103,0.1877853881278539,0.3240524285700588,0.32740028539074817
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'SET/20 RED SPOTTY PAPER NAPKINS '}),0.0945624664468134,0.06503566224403712,0.0252319963187361,0.26682887266828875,4.102808573964407,1.0,0.01908206368993805,1.2752334385543167,0.8352475970437988,0.1877853881278539,0.2158298474876398,0.32740028539074817
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.057136283457320344,0.1694915254237288,0.02622900529181686,0.45906040268456383,2.7084563758389266,1.0,0.016544889451593072,1.5353072296757373,0.6690107949772485,0.13088404133180254,0.34866456649774014,0.30690576695314165
